tune,measure,chord,preceding_chord,following_chord,function,opportunity_type,opportunity_window,harmonic_state,melody_space,musical_preconditions,lick_family,lick_segment,operation,strategy,entry_beat,pickup_allowance,target_note,exit_note,resolution,continuation_required,minimum_harmonic_duration,preferred_harmonic_duration,maximum_useful_duration,source_fingering_area,practical_fingering_area,tier,confidence,reason,restriction,review_example
Walls of Time,3,G,G,G,I,static-chord development,middle tonic,middle tonic,unknown from supplied harmony; confirm against melody/rehearsal,instrumental space; repeated tonic; no busy melody,from 5,m1 complete,literal transposition C->G,PRIMARY,1,up to one beat unless marked split,B,B,remain on G,no,1 measure,2-4 tonic measures,4 measures,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",1,0.93,Long G tonic is the clearest place to develop the major-seven enclosure as melodic color.,,yes
Walls of Time,14,D,C,G,V,dominant-to-tonic resolution,dominant immediately before tonic,dominant immediately before tonic,unknown from supplied harmony; confirm against melody/rehearsal,full-measure dominant; tonic follows,from 3,m8 complete plus added G landing,literal transposition of G13 reading to D13,PRIMARY,1,up to one beat unless marked split,A,A,G or B on m15 beat 1,yes: explicit tonic landing,1 measure,1 measure,1 measure,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",1,0.91,D lasts a full measure and resolves directly to G.,,yes
I Feel the Blues Movin' In,10,G,G,G,I,static-chord development,repeated tonic,repeated tonic,unknown from supplied harmony; confirm against melody/rehearsal,long tonic; instrumental break or held vocal note,from 5,m1 complete,literal transposition C->G,PRIMARY,1,up to one beat unless marked split,B,B,remain on G,no,1 measure,2 measures,4 measures,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",1,0.90,The third four-bar G span provides room without crowding a change.,,yes
I Feel the Blues Movin' In,13,C,G,C,IV,IV arrival,first static IV measure,first static IV measure,unknown from supplied harmony; confirm against melody/rehearsal,two-measure IV; phrase space,from 5,m1 complete,original-pitch application,PRIMARY,1,up to one beat unless marked split,E,E,continue C or return G,no,1 measure,2 measures,2 measures,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",1,0.88,Canonical C major-seven material receives two full C measures.,,yes
Dig a Hole in the Meadow,3,C,C,C,I,static-chord development,middle tonic,middle tonic,unknown from supplied harmony; confirm against melody/rehearsal,static tonic; instrumental break; singer holding,from 5,m1 complete,original-pitch application,PRIMARY,1,up to one beat unless marked split,E,E,remain on C,no,1 measure,2 measures,4 measures,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",1,0.96,This is the strongest unambiguous canonical-C practice window in the set.,,yes
Dig a Hole in the Meadow,6,C,C,C/G,I,phrase ending,late tonic,late tonic,unknown from supplied harmony; confirm against melody/rehearsal,long tonic; approaching a split connector,from 4,m2 short segment,segment extraction,PRIMARY,1,up to one beat unless marked split,C,C,hold C before split measure,no,1 measure,1 measure,1 measure,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",1,0.87,Late static C supports the shorter tonic/add9 segment without forcing the split measure.,,yes
Sarafina,14,A,Em,D,V of D,dominant-to-tonic resolution,dominant immediately before tonic,dominant immediately before tonic,unknown from supplied harmony; confirm against melody/rehearsal,full-measure A; D follows,from 3,m8 complete plus D landing,literal transposition of G13 reading to A13,PRIMARY,1,up to one beat unless marked split,E,E,D or F# on m15 beat 1,yes: explicit tonic landing,1 measure,1 measure,1 measure,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",1,0.91,The clearest major dominant resolution in a harmonically busy tune.,,yes
"Perfume, Powder and Lead",2,G,G,G,I,static-chord development,middle tonic,middle tonic,unknown from supplied harmony; confirm against melody/rehearsal,three-measure opening tonic; instrumental fill,from 5,m1 complete,literal transposition C->G,PRIMARY,1,up to one beat unless marked split,B,B,remain on G,no,1 measure,2 measures,3 measures,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",1,0.92,The opening G plateau gives the phrase enough air before D/G.,,yes
Rank Strangers,7,C,C,C,I,static-chord development,repeated tonic,repeated tonic,unknown from supplied harmony; confirm against melody/rehearsal,extended tonic; melody gap,from 5,m1 complete,original-pitch application,PRIMARY,1,up to one beat unless marked split,E,E,remain on C,no,1 measure,2 measures,4 measures,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",1,0.94,Repeated C measures are ideal for the canonical tonic family.,,yes
Rank Strangers,42,G7,G,C,V7,dominant-to-tonic resolution,late dominant,late dominant,unknown from supplied harmony; confirm against melody/rehearsal,two-measure G/G7 span; C follows,9th arp,m21 G13 reading plus C landing,harmonic reinterpretation,PRIMARY,1,up to one beat unless marked split,D,D,C or E on m43 beat 1,yes: explicit tonic landing,1 measure,2 dominant measures,2 measures,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",1,0.95,The G-to-G7 expansion supplies both setup and a decisive C resolution.,,yes
Dear Old Dixie,20,G7,G,C,V7 of IV,dominant-to-tonic resolution,dominant immediately before tonic,dominant immediately before tonic,unknown from supplied harmony; confirm against melody/rehearsal,G7 explicitly encoded; C follows,9th arp,m21 G13 reading plus C landing,harmonic reinterpretation,PRIMARY,1,up to one beat unless marked split,D,D,C or E on m21 beat 1,yes: explicit C landing,1 measure,1 measure,1 measure,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",1,0.96,This is the corpus's cleanest original-root G13/G7 application.,,yes
Dear Old Dixie,30,D,A,G,V,dominant-to-tonic resolution,turnaround dominant,turnaround dominant,unknown from supplied harmony; confirm against melody/rehearsal,full D measure; G ending follows,from 3,m8 complete plus G landing,literal transposition of G13 reading to D13,PRIMARY,1,up to one beat unless marked split,A,A,G or B on m31 beat 1,yes: explicit tonic landing,1 measure,1 measure,1 measure,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",1,0.93,End-of-form D-to-G is a natural soloistic turnaround.,,yes
Somehow Tonight,8,D,D,G,V,dominant-to-tonic resolution,late dominant,late dominant,unknown from supplied harmony; confirm against melody/rehearsal,second full D measure; G follows,from 3,m8 complete plus G landing,literal transposition of G13 reading to D13,PRIMARY,1,up to one beat unless marked split,A,A,G or B on m9 beat 1,yes: explicit tonic landing,1 measure,2-measure dominant,2 measures,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",1,0.95,"The second D measure is the experienced-player window: established dominant, then release.",,yes
Can't You Hear Me Calling,14,D,C,G,V,dominant-to-tonic resolution,dominant immediately before tonic,dominant immediately before tonic,unknown from supplied harmony; confirm against melody/rehearsal,full D measure; final G follows,from 3,m8 complete plus G landing,literal transposition of G13 reading to D13,PRIMARY,1,up to one beat unless marked split,A,A,G or B on m15 beat 1,yes: explicit tonic landing,1 measure,1 measure,1 measure,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",1,0.94,"The final C-D-G cadence gives clear preparation, opportunity, and resolution.",,yes
Farewell Blues,1,C/G,start,C,I/V split,split-measure connector,second half dominant,second half dominant,unknown from supplied harmony; confirm against melody/rehearsal,provisional beat-3 split; exact rhythm unconfirmed,from 3,two-beat dominant fragment,segment extraction,PRIMARY,3 provisional,up to one beat unless marked split,D,D,C on m2 beat 1,yes,2 beats,2 beats,2 beats,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",2,0.67,G in the second half can prepare the next C.,Reject until the split beat and two-beat ending are approved.,no
Farewell Blues,5,A7,C,D/D#,secondary dominant,dominant preparation,single dominant measure,single dominant measure,unknown from supplied harmony; confirm against melody/rehearsal,full-measure A7; ambiguous following split,from 3,dominant segment,literal transposition G13->A13,PRIMARY,1,up to one beat unless marked split,E,E,D candidate,yes,1 measure,1 measure,1 measure,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",3,0.44,"A7 fits a transformed dominant family, but D/D# prevents a confident landing.",Following chord quality and split timing require confirmation.,no
Trail of Tears,13,B7,B7,B7,V of Em,dominant continuation,sustained dominant,sustained dominant,unknown from supplied harmony; confirm against melody/rehearsal,four-measure B7; minor tonic follows,from 3,dominant family with minor ending,chord-relative transformation,PRIMARY,1,up to one beat unless marked split,F#,F#,G on Em,yes,1 measure,2 measures,3 measures,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",2,0.71,Long B7 is excellent dominant space.,Current major-tonic ending is invalid; minor-resolution variant required.,no
Bright Sunny South,6,Dsus2,Dsus2,Dsus2,V-sus,dominant continuation,sustained dominant,sustained dominant,unknown from supplied harmony; confirm against melody/rehearsal,five-measure suspended chord,from 3,dominant fragment without third,chord-relative transformation,PRIMARY,1,up to one beat unless marked split,A,A,G on m8,yes,1 measure,2 measures,4 measures,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",3,0.52,"There is ample duration, but the suspended quality makes F# handling arrangement-dependent.",Do not impose D13 until the third is confirmed.,no
Sitting on Top of the World,2,G/G7,G,C,I/V7 of IV split,split-measure connector,second half dominant,second half dominant,unknown from supplied harmony; confirm against melody/rehearsal,provisional half-measure G7; C follows,9th arp,two-beat G13 fragment,segment extraction,PRIMARY,3 provisional,up to one beat unless marked split,D,D,C on m3 beat 1,yes,2 beats,2 beats,2 beats,canonical C / source register,"acoustic-safe; high E <=16, other strings <=15",2,0.78,Explicit G7-to-C motion is attractive.,A new approved two-beat ending is needed.,no
