title,key_name,primary_treatment,moment_index,chord,degree,functional_bucket,recommended_treatment,confidence,rationale
mar_east,E,teal,0,A13,IV,subdominant,teal,0.83,subdominant plateau leaves room for extension climbing | IV moving back into the home loop favors shape-based teal phrasing
mar_east,E,teal,1,E9,I,tonic,teal,0.86,tonic stability supports teal extension framing and melodic climbing
mar_east,E,teal,2,Emaj7,I,tonic,teal,0.86,tonic stability supports teal extension framing and melodic climbing
mar_east,E,teal,3,A,IV,subdominant,teal,0.78,subdominant plateau leaves room for extension climbing
mar_east,E,teal,4,A13,IV,subdominant,teal,0.83,subdominant plateau leaves room for extension climbing | IV moving back into the home loop favors shape-based teal phrasing
mar_east,E,teal,5,E9,I,tonic,teal,0.86,tonic stability supports teal extension framing and melodic climbing
mar_east,E,teal,6,B,V,dominant,pink,0.94,dominant chord invites tension / superimposed color | direct V→I cadence makes pink tension especially useful
mar_east,E,teal,7,Emaj7,I,tonic,teal,0.92,tonic stability supports teal extension framing and melodic climbing | post-cadential tonic is a strong teal arrival zone
mar_east,E,teal,8,E9,I,tonic,teal,0.86,tonic stability supports teal extension framing and melodic climbing
mar_east,E,teal,9,Emaj7,I,tonic,teal,0.86,tonic stability supports teal extension framing and melodic climbing
mar_east,E,teal,10,E9,I,tonic,teal,0.86,tonic stability supports teal extension framing and melodic climbing
