teachable_moment_slug,teachable_moment,lens_slug,lens,relationship_type,notes
loop-one-dense-idea,Loop One Dense Idea,recognition,Recognition,active,
feel-five-as-vamp,"Feel Five As A Vamp, Not A Math Problem",five-four-pulse,5/4 Pulse,active,
feel-five-as-vamp,"Feel Five As A Vamp, Not A Math Problem",three-plus-two-grouping,3+2 Grouping,active,
feel-five-as-vamp,"Feel Five As A Vamp, Not A Math Problem",accompaniment-texture,Accompaniment Texture,active,
feel-five-as-vamp,"Feel Five As A Vamp, Not A Math Problem",groove,Groove,active,
melody-on-vamp,Put The Melody On Top Of The Vamp,melody-skeleton,Melody Skeleton,active,
melody-on-vamp,Put The Melody On Top Of The Vamp,target-tone,Target Tone,active,
melody-on-vamp,Put The Melody On Top Of The Vamp,phrase-entry,Phrase Entry,active,
rhythm-track-names-chords,Let The Rhythm Track Name The Chords,harmonic-inference,Harmonic Inference,active,
rhythm-track-names-chords,Let The Rhythm Track Name The Chords,guide-tones,Guide Tones,active,
rhythm-track-names-chords,Let The Rhythm Track Name The Chords,source-priority,Source Priority,active,
odd-meter-pickup-placement,Odd-Meter Pickup Placement,five-four-pulse,5/4 Pulse,active,
odd-meter-pickup-placement,Odd-Meter Pickup Placement,phrase-entry,Phrase Entry,active,
