tune,section,measure,beat,preceding_chord,active_chord,following_chord,opportunity_window,musical_preconditions,available_duration,traversal_family,source_phrase,required_transposition,chord_relative_transformation,entry_note,exit_note,target_note,compatible_next_phrase,best_bh5432_connection,physical_route,maximum_fret,confidence,restriction
Walls of Time,late form,14,1,C,D,G,full dominant before tonic,melody space and audible D function,4 beats,"Up a 3rd, Down a Chord B",BH-Traversals m10,2,C traversal transposed to D,D,A,G,"Down a 3rd, Up a Chord",BH-5432 From 3,compact middle-register route,14,0.88,land on G after the traversal
I Feel the Blues Movin' In,tonic plateau,10,1,G,G,G,repeated tonic,instrumental space or held vocal note,4 beats,"Up a 3rd, Down a Chord A",BH-Traversals m1,7,C-major structure transposed to G,D,A,B,"Up a 3rd, Down a Chord B",BH-5432 From 5,lower-octave acoustic realization,14,0.86,avoid crowding the melody
Dig a Hole in the Meadow,tonic plateau,3,1,C,C,C,static tonic,clear melody rest,4 beats,"Up a 3rd, Down a Chord A",BH-Traversals m1,0,literal C realization,C,D,E,"Up a 3rd, Down a Chord B",BH-5432 From 5,source-area realization,11,0.90,use only when the vocal leaves space
Sarafina,dominant cadence,14,1,Em,A,D,full dominant before tonic,hear A as V of D,4 beats,"Up a 3rd, Down a Chord B",BH-Traversals m10,9,C traversal transposed to A,A,E,D,"Down a 3rd, Up a Chord",BH-5432 From 3,octave-adjusted acoustic route,15,0.89,explicit D landing required
"Perfume, Powder and Lead",opening tonic,2,1,G,G,G,repeated tonic,instrumental opening space,4 beats,"Up a 3rd, Down a Chord A",BH-Traversals m1,7,C-major structure transposed to G,D,A,B,"Up a 3rd, Down a Chord B",BH-5432 From 5,lower-octave acoustic realization,14,0.87,do not play over a busy vocal pickup
Rank Strangers,late cadence,42,1,G,G7,C,dominant before tonic,explicit G7 and room before C,4 beats,"Down a 3rd, Down a Chord",BH-Traversals m12,7,G7 upper-structure reading,C,B,C,"Down a 3rd, Up a Chord",BH-5432 From 3,middle register to C target,15,0.92,confirm exact melody space
Dear Old Dixie,mid-form cadence,20,1,G,G7,C,dominant before tonic,explicit G7 and following C,4 beats,"Down a 3rd, Down a Chord",BH-Traversals m12,7,G7 upper-structure reading,C,B,C,"Down a 3rd, Up a Chord",BH-5432 From 3,middle register to C target,15,0.92,latest review rhythm ends earlier than the full guide form; confirm form authority
Somehow Tonight,late dominant,8,1,D,D,G,second sustained dominant measure,dominant is established and G follows,4 beats,"Up a 3rd, Down a Chord B",BH-Traversals m10,2,C traversal transposed to D,D,A,G,"Down a 3rd, Up a Chord",BH-5432 From 3,compact continuation after final D,14,0.94,use second D measure and release on G
Can't You Hear Me Calling,final cadence,14,1,C,D,G,full dominant before final tonic,final C-D-G cadence and melody space,4 beats,"Up a 3rd, Down a Chord B",BH-Traversals m10,2,C traversal transposed to D,D,A,G,"Down a 3rd, Up a Chord",BH-5432 From 3,compact continuation after final D,14,0.93,explicit G landing required
Farewell Blues,secondary dominant,5,1,C,A7,D/D#,single dominant measure,following split harmony must be confirmed,4 beats,"Down a 3rd, Down a Chord",BH-Traversals m12,9,A7 transformation,D,C#,D,"Down a 3rd, Up a Chord",BH-5432 From 3,octave-adjusted route,15,0.55,D versus D# function is unresolved
Trail of Tears,minor dominant span,13,1,B7,B7,B7,sustained dominant,retain pressure and leave room for later Em,4 beats,"Down a 3rd, Down a Chord",BH-Traversals m12,11,B7 transformation,E,D#,E,"Down a 3rd, Up a Chord",BH-5432 From 3,lower-octave dominant route,15,0.76,major-tonic ending is invalid; use the separate minor target
Bright Sunny South,suspended plateau,6,1,Dsus2,Dsus2,Dsus2,sustained suspended chord,omit F#-defining treatment until third is confirmed,4 beats,"Up a 3rd, Down a Chord A",BH-Traversals m1,2,D transformation without asserted third,D,E,D,"Up a 3rd, Down a Chord B",none,low-register route,13,0.44,review only; suspended quality conflicts with the major-third arrival
Sitting on Top of the World,split connector,7,3,G,G/D,G,second-half dominant,confirm the user-edited split beat,2 beats,"Up a 3rd, Down a Chord B",BH-Traversals m10 fragment,2,short D connector,D,A,G,"Down a 3rd, Up a Chord",BH-5432 From 3,shortened lower-register route,14,0.61,generated review currently demonstrates full phrase; approve shortening separately
Southern Flavor,minor dominant,7,1,Em,B7,Em,sustained dominant into minor tonic,hear B7 across the full window,4 beats,"Down a 3rd, Down a Chord",BH-Traversals m12,11,B7 transformation,E,D#,E,"Down a 3rd, Up a Chord",BH-5432 From 3,lower-octave dominant route,15,0.77,minor-resolution target is required
