title,key_name,primary_treatment,moment_index,chord,degree,functional_bucket,recommended_treatment,confidence,rationale
neon_tetra,E,hybrid,0,Em7,I,tonic,teal,0.86,tonic stability supports teal extension framing and melodic climbing
neon_tetra,E,hybrid,1,Am7/D,IV,subdominant,teal,0.78,subdominant plateau leaves room for extension climbing
neon_tetra,E,hybrid,2,Am7/D,IV,subdominant,teal,0.83,subdominant plateau leaves room for extension climbing | IV moving back into the home loop favors shape-based teal phrasing
neon_tetra,E,hybrid,3,Bm7,V,dominant,pink,0.94,dominant chord invites tension / superimposed color | direct V→I cadence makes pink tension especially useful
neon_tetra,E,hybrid,4,Em7,I,tonic,teal,0.92,tonic stability supports teal extension framing and melodic climbing | post-cadential tonic is a strong teal arrival zone
neon_tetra,E,hybrid,5,C/B,bVI,color_or_other,hybrid,0.62,non-core function may support mixed color depending on phrase target
neon_tetra,E,hybrid,6,C/B,bVI,color_or_other,hybrid,0.62,non-core function may support mixed color depending on phrase target
neon_tetra,E,hybrid,7,A6,IV,subdominant,teal,0.78,subdominant plateau leaves room for extension climbing
neon_tetra,E,hybrid,8,G7,bIII,color_or_other,hybrid,0.62,non-core function may support mixed color depending on phrase target
neon_tetra,E,hybrid,9,A,IV,subdominant,teal,0.83,subdominant plateau leaves room for extension climbing | IV moving back into the home loop favors shape-based teal phrasing
neon_tetra,E,hybrid,10,Em7,I,tonic,teal,0.86,tonic stability supports teal extension framing and melodic climbing
neon_tetra,E,hybrid,11,Am7/D,IV,subdominant,teal,0.78,subdominant plateau leaves room for extension climbing
neon_tetra,E,hybrid,12,Am7/D,IV,subdominant,teal,0.83,subdominant plateau leaves room for extension climbing | IV moving back into the home loop favors shape-based teal phrasing
neon_tetra,E,hybrid,13,Bm7,V,dominant,pink,0.94,dominant chord invites tension / superimposed color | direct V→I cadence makes pink tension especially useful
neon_tetra,E,hybrid,14,Em7,I,tonic,teal,0.92,tonic stability supports teal extension framing and melodic climbing | post-cadential tonic is a strong teal arrival zone
neon_tetra,E,hybrid,15,B,V,dominant,pink,0.94,dominant chord invites tension / superimposed color | direct V→I cadence makes pink tension especially useful
neon_tetra,E,hybrid,16,Em7,I,tonic,teal,0.92,tonic stability supports teal extension framing and melodic climbing | post-cadential tonic is a strong teal arrival zone
neon_tetra,E,hybrid,17,Am7/D,IV,subdominant,teal,0.78,subdominant plateau leaves room for extension climbing
neon_tetra,E,hybrid,18,Am7/D,IV,subdominant,teal,0.83,subdominant plateau leaves room for extension climbing | IV moving back into the home loop favors shape-based teal phrasing
neon_tetra,E,hybrid,19,Bm7,V,dominant,pink,0.88,dominant chord invites tension / superimposed color
neon_tetra,E,hybrid,20,C/B,bVI,color_or_other,hybrid,0.62,non-core function may support mixed color depending on phrase target
neon_tetra,E,hybrid,21,C/B7,bVI,color_or_other,hybrid,0.62,non-core function may support mixed color depending on phrase target
neon_tetra,E,hybrid,22,A6,IV,subdominant,teal,0.83,subdominant plateau leaves room for extension climbing | IV moving back into the home loop favors shape-based teal phrasing
neon_tetra,E,hybrid,23,Bm7,V,dominant,pink,0.88,dominant chord invites tension / superimposed color
neon_tetra,E,hybrid,24,A6,IV,subdominant,teal,0.83,subdominant plateau leaves room for extension climbing | IV moving back into the home loop favors shape-based teal phrasing
neon_tetra,E,hybrid,25,Bm7,V,dominant,pink,0.88,dominant chord invites tension / superimposed color
neon_tetra,E,hybrid,26,G7,bIII,color_or_other,hybrid,0.62,non-core function may support mixed color depending on phrase target
